gene,mean_B,mean_other,det_B,det_other,log2FC,det_diff
Thoc2l,0.6208,0.7955,0.3213,0.5021,-0.3578,-0.1808
Zfp33b,0.0668,0.1188,0.0367,0.1039,-0.8307,-0.0672
Gm31255,0.0475,0.0309,0.0261,0.0257,0.619,0.0004
Gm20385,0.0013,0.0002,0.0008,0.0001,2.8861,0.0006
Gm31526,0.0,1e-04,0.0,0.0001,-5.9581,-0.0001
Zfp951,0.0384,0.1478,0.0213,0.1227,-1.9449,-0.1014
Gm29716,0.0,0.0,0.0,0.0,0.0,0.0
Abcg3,0.0026,0.0404,0.0014,0.0256,-3.9551,-0.0242
Gm24097,0.0,0.0003,0.0,0.0002,-8.0596,-0.0002
Gbp8,0.0002,0.0339,0.0001,0.0211,-7.4203,-0.021
Gbp9,0.0041,0.0701,0.0023,0.0463,-4.0987,-0.044
Gbp4,0.0014,0.0651,0.0006,0.0409,-5.5879,-0.0403
Gm9640,0.0,1e-04,0.0,0.0001,-6.5284,-0.0001
Gm31785,0.0,0.0002,0.0,0.0002,-7.8761,-0.0002
Gbp10,0.0,0.0036,0.0,0.0028,-11.8182,-0.0028
Gbp6,0.0019,0.0498,0.001,0.0411,-4.7199,-0.0401
Gbp11,0.0031,0.074,0.0016,0.0537,-4.5625,-0.0521
Gm26519,0.0008,0.0,0.0004,0.0,9.6847,0.0004
Gm32051,0.0,0.0,0.0,0.0,-4.738,-0.0
4930542N06Rik,0.0004,0.0,0.0002,0.0,8.5383,0.0002
Lrrc8b,0.3742,0.016,0.1989,0.0112,4.5511,0.1877
Gm42141,0.0002,0.0,0.0001,0.0,7.355,0.0001
Gm42144,0.0002,1e-04,0.0001,0.0,1.8243,0.0001
Lrrc8c,0.1706,0.1187,0.0925,0.0744,0.523,0.0181
Gm32230,0.0003,0.0,0.0001,0.0,3.2858,0.0001
Gm32276,0.0,0.0006,0.0,0.0004,-9.1413,-0.0004
Lrrc8d,0.2021,0.5742,0.1078,0.3929,-1.5069,-0.285
Rps15a-ps5,0.0002,0.0005,0.0001,0.0004,-1.1525,-0.0003
D830014E11Rik,0.0025,0.0162,0.0015,0.0123,-2.6697,-0.0108
Gm54332,0.0,0.0003,0.0,0.0003,-8.3807,-0.0003
Zfp326,0.2527,0.347,0.1358,0.2625,-0.4574,-0.1267
Gm25672,0.0,0.0,0.0,0.0,0.0,0.0
Gm32736,0.0,0.0,0.0,0.0,-4.3225,-0.0
Gm32973,0.0003,0.0058,0.0001,0.0042,-4.5234,-0.0041
Gm32921,0.0,0.0004,0.0,0.0003,-8.5604,-0.0003
4930458A03Rik,0.0002,1e-04,0.0001,0.0,2.0113,0.0001
Barhl2,0.029,0.0,0.0138,0.0,9.6017,0.0138
Gm33151,0.0007,0.0,0.0004,0.0,9.4085,0.0004
Gm28050,0.0151,0.0005,0.0081,0.0004,4.8259,0.0077
Gm33283,0.0002,0.0,0.0001,0.0,7.8201,0.0001
Gm52820,0.0,0.0,0.0,0.0,0.0,0.0
Gm8350,0.0583,0.0219,0.0317,0.0185,1.4114,0.0133
