,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pglyrp2,777.0714473699153,0.3546999121664721,0.23671957003495867,1.4983970785097749,0.13403011500027312,0.2997075715020527
Prxl2b,38.11347837554442,-0.987780864165445,0.6593564161595583,-1.4980985093294532,0.1341076583469404,0.29982692547344436
Apc,579.9650317279547,0.2738197672431768,0.18279457926384576,1.4979643726083653,0.1341425071620059,0.29985080069402614
B4galnt1,530.9862652717225,0.2873243459654855,0.1918376049642619,1.4977477748380572,0.13419879420021527,0.29992257986810855
Gm44704,4.002507510171574,3.232163802212395,2.159182449744286,1.4969387152045364,0.1344092052319106,0.300338724803149
Tmem64,167.96904263724977,-0.43027824555603195,0.28756505078290323,-1.4962814305305474,0.13458033207140188,0.30046239133782415
Mrps31,245.46025081858778,-0.4353956940536874,0.2910072095246261,-1.4961680666431827,0.13460986386068247,0.30046239133782415
Parg,258.39807830078735,0.3674089543247419,0.24550997727653642,1.4965133327795532,0.1345199361225559,0.30046239133782415
2510046G10Rik,4.12427539326301,-3.082800340844938,2.060207652203882,-1.4963541842722259,0.1345613820417932,0.30046239133782415
Chd4,1964.493827865931,-0.2568976234063757,0.171699047718888,-1.496208784028773,0.13459925622689012,0.30046239133782415
Gm55936,1277.4695716454958,0.397526596799105,0.2656693085314179,1.496321118147126,0.13456999445717852,0.30046239133782415
Dtd2,64.33764432877352,-0.576305714767078,0.3852997434051387,-1.4957334507256566,0.13472312963177221,0.3006611164259338
Arel1,470.10306575636406,-0.36582695923281955,0.24467426389939242,-1.495159128723256,0.1348729173500779,0.30093971483287435
Cyp20a1,121.74487076589746,0.6507129698352896,0.43523947556945664,1.4950688215583219,0.13489648187857603,0.30093971483287435
Satb2,17.34725009438123,1.251692928801838,0.8374539150587599,1.4946409662602305,0.13500816863437967,0.30113472493313814
Rad21,720.5471559371242,0.27351444181985357,0.18302352119032947,1.4944223564326518,0.13506526181826842,0.3012074357656825
Leng8,187.79747174780064,0.5870902759354577,0.3928785358618474,1.494330237836926,0.13508932553605169,0.3012074357656825
Mlxip,51.518854517851416,0.9819646932238095,0.6571950589102283,1.4941754048670413,0.13512977930536849,0.3012434936320577
Pgap3,7.104091242796608,1.9060931508684997,1.2761755191046682,1.4935979591629884,0.1352807331875481,0.30152583110397446
1110002L01Rik,8.733686714230393,-1.9166814925947149,1.2833960201944294,-1.4934450960073453,0.13532071595251702,0.30156076919470565
Gm45715,3.886030931983405,2.55491676392527,1.7108762986583208,1.4933381016084275,0.13534870675296545,0.3015689755706339
Gm40770,15.149083299050002,-1.63692164175406,1.0966005389693443,-1.492723725352665,0.1355095202913684,0.3018435178344938
Slc37a3,186.04177736012448,-0.47855469030972364,0.32060067754155575,-1.4926814689831533,0.13552058635645095,0.3018435178344938
Cyp2d38-ps,80.32834622266796,-0.7513973087035969,0.5034584529728576,-1.4924713335662398,0.1355756268223395,0.301911905646732
Bud23,103.94001691084607,-0.6349927972268458,0.42563329016367635,-1.491877660656338,0.13573122000715795,0.30195906762034397
