gene,group,bin,n,mean,zc
Cyp7a1,Sham,7,3420,1.575874924659729,-0.27493734000000003
Cyp7a1,Sham,8,3419,1.5207563638687134,-0.21551788
Cyp7a1,Sham,9,3420,1.5164905786514282,-0.11035838749999999
Cyp7a1,CLP,0,3295,0.09495601058006287,-0.7252295
Cyp7a1,CLP,1,3295,0.10016191750764847,-0.6332191
Cyp7a1,CLP,2,3295,0.12046200037002563,-0.56623507
Cyp7a1,CLP,3,3295,0.12168280780315399,-0.5058848
Cyp7a1,CLP,4,3295,0.1670503318309784,-0.4482787
Cyp7a1,CLP,5,3295,0.1879873126745224,-0.38891482
Cyp7a1,CLP,6,3295,0.19999496638774872,-0.3239999
Cyp7a1,CLP,7,3295,0.16628362238407135,-0.2528145
Cyp7a1,CLP,8,3295,0.1567637175321579,-0.17021167
Cyp7a1,CLP,9,3295,0.34145280718803406,-0.053990714
Cyp8b1,Sham,0,3420,0.5603324174880981,-0.7282628
Cyp8b1,Sham,1,3419,0.6570303440093994,-0.5630905
Cyp8b1,Sham,2,3420,0.6619480848312378,-0.48928714
Cyp8b1,Sham,3,3419,0.6952876448631287,-0.44062132
Cyp8b1,Sham,4,3419,0.6643388271331787,-0.39919755
Cyp8b1,Sham,5,3420,0.6466947793960571,-0.35999492
Cyp8b1,Sham,6,3419,0.6809353828430176,-0.32021022
Cyp8b1,Sham,7,3420,0.6987482905387878,-0.27493734000000003
Cyp8b1,Sham,8,3419,0.6439398527145386,-0.21551788
Cyp8b1,Sham,9,3420,0.675269365310669,-0.11035838749999999
Cyp8b1,CLP,0,3295,0.16489773988723755,-0.7252295
Cyp8b1,CLP,1,3295,0.18760083615779877,-0.6332191
Cyp8b1,CLP,2,3295,0.22472022473812103,-0.56623507
Cyp8b1,CLP,3,3295,0.22887872159481049,-0.5058848
Cyp8b1,CLP,4,3295,0.22664305567741394,-0.4482787
Cyp8b1,CLP,5,3295,0.20300866663455963,-0.38891482
Cyp8b1,CLP,6,3295,0.19862115383148193,-0.3239999
Cyp8b1,CLP,7,3295,0.18887194991111755,-0.2528145
Cyp8b1,CLP,8,3295,0.13066892325878143,-0.17021167
Cyp8b1,CLP,9,3295,0.1153278648853302,-0.053990714
Cyp27a1,Sham,0,3420,1.3482779264450073,-0.7282628
Cyp27a1,Sham,1,3419,1.4492506980895996,-0.5630905
Cyp27a1,Sham,2,3420,1.4332151412963867,-0.48928714
Cyp27a1,Sham,3,3419,1.4486252069473267,-0.44062132
Cyp27a1,Sham,4,3419,1.473882794380188,-0.39919755
Cyp27a1,Sham,5,3420,1.4670344591140747,-0.35999492
Cyp27a1,Sham,6,3419,1.4746179580688477,-0.32021022
Cyp27a1,Sham,7,3420,1.466264247894287,-0.27493734000000003
Cyp27a1,Sham,8,3419,1.4516180753707886,-0.21551788
Cyp27a1,Sham,9,3420,1.5349903106689453,-0.11035838749999999
Cyp27a1,CLP,0,3295,0.9819304943084717,-0.7252295
Cyp27a1,CLP,1,3295,0.8939962387084961,-0.6332191
Cyp27a1,CLP,2,3295,0.8740221261978149,-0.56623507
Cyp27a1,CLP,3,3295,0.8731651306152344,-0.5058848
Cyp27a1,CLP,4,3295,0.9318645596504211,-0.4482787
Cyp27a1,CLP,5,3295,0.9846490621566772,-0.38891482
Cyp27a1,CLP,6,3295,0.9911146759986877,-0.3239999
Cyp27a1,CLP,7,3295,0.8948742151260376,-0.2528145
Cyp27a1,CLP,8,3295,0.7954538464546204,-0.17021167
Cyp27a1,CLP,9,3295,1.068249225616455,-0.053990714
Nr1h3,Sham,0,3420,0.5257592797279358,-0.7282628
Nr1h3,Sham,1,3419,0.4847763776779175,-0.5630905
Nr1h3,Sham,2,3420,0.45455607771873474,-0.48928714
Nr1h3,Sham,3,3419,0.46969228982925415,-0.44062132
Nr1h3,Sham,4,3419,0.45852765440940857,-0.39919755
Nr1h3,Sham,5,3420,0.4294900596141815,-0.35999492
